iter	Passed	Remaining
0	1	175
1	3	175
2	5	182
3	7	181
4	9	175
5	10	171
6	14	188
7	17	196
8	19	199
9	21	194
10	24	202
11	28	208
12	31	207
13	33	205
14	35	203
15	41	215
16	44	217
17	46	212
18	50	216
19	54	217
20	56	213
21	60	213
22	63	213
23	66	209
24	67	203
25	70	201
26	72	196
27	77	198
28	79	193
29	81	189
30	83	185
31	86	183
32	87	178
33	89	173
34	91	170
35	94	167
36	97	166
37	99	163
38	103	161
39	105	158
40	110	158
41	111	154
42	115	153
43	118	151
44	122	149
45	126	147
46	128	145
47	134	145
48	137	143
49	140	140
50	143	137
51	146	135
52	148	132
53	152	129
54	153	125
55	155	122
56	157	118
57	159	115
58	161	112
59	164	109
60	166	106
61	167	102
62	170	99
63	172	96
64	174	93
65	176	90
66	178	87
67	180	84
68	182	82
69	184	79
70	188	77
71	191	74
72	193	71
73	196	69
74	200	66
75	203	64
76	205	61
77	208	58
78	212	56
79	215	53
80	223	52
81	227	49
82	231	47
83	233	44
84	236	41
85	243	39
86	246	36
87	249	34
88	254	31
89	256	28
90	259	25
91	262	22
92	265	19
93	267	17
94	272	14
95	277	11
96	279	8
97	281	5
98	284	2
99	290	0
