iter	Passed	Remaining
0	146	146235
1	149	74649
2	153	50948
3	156	38875
4	157	31359
5	158	26319
6	160	22770
7	161	20083
8	163	17977
9	164	16296
10	166	14927
11	168	13891
12	170	12940
13	171	12095
14	173	11366
15	174	10739
16	176	10179
17	177	9678
18	178	9234
19	180	8857
20	182	8527
21	184	8195
22	186	7918
23	188	7659
24	190	7443
25	192	7205
26	193	6984
27	196	6814
28	198	6638
29	199	6455
30	201	6304
31	203	6146
32	204	5999
33	206	5865
34	208	5734
35	210	5630
36	213	5545
37	215	5443
38	216	5334
39	217	5230
40	219	5131
41	221	5042
42	222	4958
43	224	4883
44	227	4819
45	228	4739
46	230	4665
47	231	4592
48	233	4522
49	234	4455
50	236	4391
51	238	4343
52	240	4302
53	242	4244
54	243	4186
55	245	4137
56	246	4084
57	248	4031
58	249	3983
59	251	3938
60	253	3901
61	254	3855
62	256	3809
63	257	3762
64	258	3718
65	259	3677
66	261	3637
67	262	3596
68	263	3557
69	265	3528
70	267	3500
71	268	3466
72	270	3432
73	271	3398
74	272	3365
75	274	3335
76	275	3303
77	276	3271
78	278	3247
79	281	3237
80	283	3216
81	284	3188
82	285	3155
83	286	3129
84	288	3103
85	289	3077
86	291	3055
87	292	3031
88	294	3013
89	296	2996
90	297	2973
91	298	2950
92	300	2930
93	301	2908
94	303	2887
95	304	2870
96	307	2859
97	311	2870
98	313	2857
99	316	2846
100	318	2835
101	320	2823
102	322	2810
103	326	2811
104	327	2794
105	329	2776
106	330	2760
107	332	2742
108	333	2725
109	334	2710
110	336	2693
111	338	2684
112	339	2668
113	341	2651
114	342	2638
115	344	2627
116	346	2612
117	347	2597
118	348	2583
119	350	2568
120	352	2558
121	353	2542
122	355	2535
123	356	2521
124	358	2507
125	359	2493
126	360	2478
127	361	2465
128	363	2452
129	364	2439
130	366	2430
131	368	2425
132	371	2419
133	372	2409
134	374	2397
135	375	2385
136	376	2373
137	379	2368
138	381	2360
139	382	2348
140	383	2337
141	384	2324
142	385	2312
143	387	2301
144	388	2290
145	389	2280
146	391	2270
147	392	2262
148	394	2255
149	396	2245
150	397	2237
151	399	2226
152	400	2218
153	401	2207
154	403	2198
155	404	2189
156	405	2179
157	407	2174
158	409	2165
159	410	2156
160	411	2145
161	413	2138
162	414	2129
163	416	2121
164	417	2112
165	418	2104
166	420	2097
167	422	2091
168	423	2083
169	424	2074
170	426	2066
171	427	2058
172	429	2051
173	430	2044
174	431	2036
175	433	2028
176	435	2024
177	436	2017
178	438	2009
179	439	2001
180	440	1994
181	442	1988
182	444	1983
183	445	1976
184	446	1968
185	448	1961
186	450	1957
187	451	1950
188	452	1943
189	454	1936
190	456	1931
191	458	1927
192	459	1922
193	460	1915
194	462	1908
195	464	1903
196	465	1898
197	467	1891
198	468	1886
199	469	1879
200	471	1873
201	472	1866
202	473	1860
203	475	1854
204	476	1849
205	478	1844
206	480	1839
207	481	1835
208	483	1829
209	484	1823
210	486	1817
211	487	1812
212	488	1806
213	490	1800
214	492	1797
215	494	1793
216	496	1790
217	497	1786
218	499	1780
219	500	1774
220	501	1768
221	503	1763
222	504	1757
223	506	1753
224	508	1752
225	510	1747
226	511	1742
227	512	1736
228	514	1731
229	515	1725
230	516	1720
231	518	1715
232	520	1714
233	522	1709
234	523	1704
235	524	1699
236	526	1694
237	527	1689
238	528	1683
239	530	1679
240	531	1674
241	533	1670
242	535	1667
243	536	1662
244	537	1657
245	539	1652
246	540	1647
247	541	1642
248	543	1638
249	544	1633
250	546	1629
251	549	1630
252	551	1627
253	552	1622
254	553	1617
255	555	1613
256	556	1608
257	557	1603
258	558	1598
259	560	1594
260	562	1592
261	564	1589
262	565	1585
263	567	1581
264	568	1576
265	569	1572
266	571	1568
267	572	1564
268	575	1562
269	577	1560
270	578	1556
271	579	1551
272	581	1547
273	582	1543
274	583	1539
275	585	1535
276	587	1532
277	588	1527
278	590	1526
279	592	1523
280	593	1519
281	595	1515
282	596	1510
283	597	1506
284	599	1502
285	600	1498
286	601	1494
287	603	1491
